,c_erb_b_2_her2,c_myc,carbonic_anhydrase_ix,cd20,cd3,cd44,cd45,cd68,cleaved_parp,cytokeratin_19,cytokeratin_5,cytokeratin_7,cytokeratin_8_18,dna1,dna2,e_cadherin_p_cadherin,egfr,fibronectin,gata3,histone_h3,histone_h3_phospho,histone_h3_trimethylate,keratin_14_krt14,ki_67,m_tor,p53,pan_cytokeratin,progesterone_receptor_a_b,rabbit_ig_g_h_l,s6,slug,sma,twist,v_wf,vimentin
c_erb_b_2_her2,1.0,0.6519994124886064,0.2459378301729411,-0.0368854401137306,0.30461550038804763,0.33173292892562783,0.5577732532415881,0.4279542393903421,0.3832532657654935,0.18355871729096804,0.2233856734258684,0.4023064657683948,0.6797220926043679,0.5179590204758601,0.6576625810850344,0.19254525409263337,0.47106340166679156,0.5434405440887408,0.5676048514418206,0.5896938594179527,0.19268110099151614,0.45112875324279694,0.30544469535237384,0.5925836961961659,0.5491744618709941,0.6177003522650619,0.5202464767449451,0.46903144032165645,0.591100381036196,0.6640664854971724,0.2489760861103119,0.5083198443457468,0.7536277921902086,0.5956715460737073,0.5957905594414048
c_myc,0.6519994124886064,1.0,0.440287777828819,0.3726737691878078,0.6843358401292041,0.6011216209028334,0.7383366295220849,0.4543216540259037,0.4720895821899427,0.4709782971357006,0.44178306081347357,0.5704685161589811,0.5933567693159482,0.6207791960523102,0.661927629717922,0.3417928828918133,0.5981103530145621,0.6161039169843983,0.6429138993590565,0.5814408354266952,0.1837565490596191,0.6145477068922581,0.3733215125879756,0.4883158067160047,0.6190078975554207,0.494590664129649,0.5955754105930964,0.4504364024960772,0.6854923067438088,0.7508319451462613,0.5360448817603098,0.6246039738013438,0.5700355589457676,0.450136874439386,0.4489441719111528
carbonic_anhydrase_ix,0.2459378301729411,0.440287777828819,1.0,0.21585498018660135,0.463213657101272,0.354661981484929,0.4358120833927695,0.20146859715335014,0.734496801326857,0.4354112519311717,0.2382927777200206,0.4020485531020843,0.29100835571759803,0.2004928870019753,0.2627854447074411,0.28710485023294946,0.3515770328982203,0.3162919266747097,0.37618702083368594,0.10453737708802274,0.11467237173272342,0.2849680495347055,0.302408524717789,0.36514328750099734,0.4128852370233723,0.2949885036350756,0.49648121776847215,0.29959070644014035,0.334968200643603,0.3779542696121216,0.4825970300452843,0.3994451281282564,0.28449740576244714,0.21159800076884208,0.21085578408593622
cd20,-0.0368854401137306,0.3726737691878078,0.21585498018660135,1.0,0.34398752807603317,0.2034529894175417,0.3246458309659606,0.21857095106731236,0.16311649408015783,0.3824461931437662,0.3816626632882747,0.25841057012782603,-0.11274482663578404,0.28832357371333794,0.07246554112700643,0.034077987906452716,0.2506566588251223,0.15406213960527937,0.2584892676416616,0.1867880050966009,0.05311211796648525,0.17088557671617396,0.09937567847894993,0.09102367815980794,0.04462780669666279,0.04630756342342647,0.21697146338691856,0.19521033149665507,0.19581416265119955,0.18314646199671672,0.2008668210798121,0.14102509858344475,0.018648741927762693,-0.013715157310406689,-0.015124852215498212
cd3,0.30461550038804763,0.6843358401292041,0.463213657101272,0.34398752807603317,1.0,0.7876469382919618,0.5494944198506319,0.22431692733958883,0.4130280349315416,0.4443777819148036,0.22253239170327532,0.40029526678578076,0.4736852014825596,0.2794855467361687,0.33403960624647916,0.2350682649555498,0.5131096941797688,0.5307910671673005,0.43068562337860156,0.23133239968182512,0.03838849009571842,0.6914149595390816,0.23273218184323843,0.31155753380608253,0.6207217444494679,0.32388832206262436,0.40567175158180796,0.23536540549166,0.4249924445551233,0.6057023360226688,0.7436685976368986,0.8374899965909832,0.35850966734282863,0.24772550887432335,0.24629568626408033
cd44,0.33173292892562783,0.6011216209028334,0.354661981484929,0.2034529894175417,0.7876469382919618,1.0,0.5312574194468689,0.20476902702794184,0.3705373915944769,0.3909570995795546,0.1916950247697705,0.3518145458633637,0.49165461825057,0.23521387348921324,0.2877944205759546,0.2224618540699066,0.5356172738020691,0.5855684354063863,0.3776225553602557,0.17773757945305832,0.08975143190791303,0.7417674965970277,0.23796517363016761,0.2810818006861553,0.6333728231252221,0.30939909431371176,0.3475050712146012,0.22257068269791033,0.3812681784003733,0.6440376357864553,0.6386798582719428,0.7838479094990679,0.36080407462120023,0.25940359735885826,0.258502353672188
cd45,0.5577732532415881,0.7383366295220849,0.4358120833927695,0.3246458309659606,0.5494944198506319,0.5312574194468689,1.0,0.5714089574936716,0.5178565988651117,0.41072706952701704,0.49115610999760645,0.8397981850008099,0.6108840112279955,0.7643886194449347,0.6921944698978988,0.5919493712660991,0.7998269500905445,0.5576606771129254,0.8490089371846358,0.6393149387464973,0.34441891375671224,0.6745365792330438,0.5268483942564113,0.5543191153964251,0.5864677751209476,0.6446398651866859,0.7697455809714006,0.46255621250988255,0.8066507256853696,0.8053857628823358,0.4582447432236726,0.513061097558322,0.54060447185627,0.3627181105827001,0.3602695420070646
cd68,0.4279542393903421,0.4543216540259037,0.20146859715335014,0.21857095106731236,0.22431692733958883,0.20476902702794184,0.5714089574936716,1.0,0.30640538527933386,0.36043796798425565,0.51618101274392,0.4820807513859708,0.37523319125067395,0.5865446291062332,0.4341928004467988,0.3113519954836573,0.3697632304906325,0.30484473258560624,0.44651171154399444,0.3940736299258478,0.4767506570214865,0.29128527788321823,0.30894755070610164,0.33285663513124714,0.21443180636784984,0.3727316741173427,0.4080872877524425,0.2515069485915442,0.5728434342579586,0.45013944329064404,0.14886474907460912,0.21553450843671196,0.41202603183199593,0.3189688812380775,0.31827716514872745
cleaved_parp,0.3832532657654935,0.4720895821899427,0.734496801326857,0.16311649408015783,0.4130280349315416,0.3705373915944769,0.5178565988651117,0.30640538527933386,1.0,0.5066610313121813,0.35168903481307223,0.5282707823088956,0.4697864105955141,0.3355730593386508,0.3551826725240505,0.3576363485804226,0.4447233075199041,0.47120928219647057,0.47181912748513694,0.164030733132016,0.1748492235420409,0.3574322911251931,0.45369851115425436,0.5177247110193444,0.5011980820049854,0.37487143654997834,0.6209261041224925,0.4983317577712284,0.45825918923427683,0.45325210524916043,0.45437000887311446,0.42278232581979597,0.4518192906827463,0.2937848306008815,0.29378011600327847
cytokeratin_19,0.18355871729096804,0.4709782971357006,0.4354112519311717,0.3824461931437662,0.4443777819148036,0.3909570995795546,0.41072706952701704,0.36043796798425565,0.5066610313121813,1.0,0.543124877601793,0.3486675217415482,0.2591546907828408,0.24043716408492077,0.28574707634505053,0.13151572499631295,0.29861974110814804,0.378541992558189,0.22449169989047627,0.16987722704293184,0.002938463621439572,0.29305512573469145,0.12406291328283475,0.18113293593708069,0.29274054723180587,0.09498034375460881,0.3469643129138873,0.2265536412408821,0.2891330036338668,0.2989108372883569,0.36730360074369756,0.30690350064916383,0.18514248964601834,0.18158175958453515,0.18089385143940293
cytokeratin_5,0.2233856734258684,0.44178306081347357,0.2382927777200206,0.3816626632882747,0.22253239170327532,0.1916950247697705,0.49115610999760645,0.51618101274392,0.35168903481307223,0.543124877601793,1.0,0.5050875645839428,0.24154237456148198,0.524162524268089,0.41295130183337403,0.3514045874243549,0.37885868658564004,0.25640230265782415,0.3199452562686015,0.3404522749746742,0.2913329678512798,0.2379139174921242,0.25793566508465726,0.2106747858484704,0.11704680628322885,0.18782032064099186,0.3873325713415327,0.24869970793672286,0.4778708877224625,0.33747464392699383,0.17184756617965277,0.09886758992188274,0.17710588381780862,0.17606598260676146,0.1751356051246467
cytokeratin_7,0.4023064657683948,0.5704685161589811,0.4020485531020843,0.25841057012782603,0.40029526678578076,0.3518145458633637,0.8397981850008099,0.4820807513859708,0.5282707823088956,0.3486675217415482,0.5050875645839428,1.0,0.5323554975834666,0.7219797260214357,0.6163319403107766,0.620867564535588,0.7124105737544396,0.44479994995273314,0.7827047706892258,0.557054941986272,0.2971116440889826,0.5252192590103213,0.5357546922334863,0.5670124138981502,0.47012685894165746,0.5548720530742803,0.7799296255642406,0.47509278086308565,0.7219580872273089,0.6468438186789939,0.3531484747672319,0.3590596735080716,0.4448887113191444,0.298244719046249,0.2960818369522907
cytokeratin_8_18,0.6797220926043679,0.5933567693159482,0.29100835571759803,-0.11274482663578404,0.4736852014825596,0.49165461825057,0.6108840112279955,0.37523319125067395,0.4697864105955141,0.2591546907828408,0.24154237456148198,0.5323554975834666,1.0,0.4370604544388541,0.6436051318999345,0.42461494430730473,0.5519111951142263,0.6223140695681186,0.5838943603741699,0.43811740073354305,0.147869878315027,0.6189166882248693,0.33593795710441504,0.6234376851083995,0.694826424231581,0.6267928768474574,0.5722483371976915,0.5046391035978424,0.618010367279242,0.6991388001711761,0.3664319744009439,0.6017153277612431,0.7129362513871796,0.5345747432962049,0.5346169026786167
dna1,0.5179590204758601,0.6207791960523102,0.2004928870019753,0.28832357371333794,0.2794855467361687,0.23521387348921324,0.7643886194449347,0.5865446291062332,0.3355730593386508,0.24043716408492077,0.524162524268089,0.7219797260214357,0.4370604544388541,1.0,0.6763959439954159,0.4683373669335048,0.5952479273903615,0.3892738673481477,0.7221254252204377,0.7955604810340201,0.4129011034576133,0.4205253935480127,0.4614544170944056,0.4150224306047499,0.3336484457543235,0.5547215486123368,0.6418590383671535,0.35589312611669477,0.7534039092476228,0.6170885425607276,0.24096117951978802,0.2584311813814496,0.42777768375446373,0.3906726219690577,0.388584145896245
dna2,0.6576625810850344,0.661927629717922,0.2627854447074411,0.07246554112700643,0.33403960624647916,0.2877944205759546,0.6921944698978988,0.4341928004467988,0.3551826725240505,0.28574707634505053,0.41295130183337403,0.6163319403107766,0.6436051318999345,0.6763959439954159,1.0,0.39660020091439013,0.583495432884681,0.534750331835139,0.6552743049595149,0.6911490985447609,0.2021229289014504,0.47355370651992584,0.3365918355258227,0.4835063429470829,0.47696976492291027,0.5120422307058116,0.6271122606132845,0.4492079778244671,0.7636868999465679,0.7432859899083434,0.27304628284200777,0.37324278485236057,0.6095716908964747,0.45723971794617624,0.4564133638291236
e_cadherin_p_cadherin,0.19254525409263337,0.3417928828918133,0.28710485023294946,0.034077987906452716,0.2350682649555498,0.2224618540699066,0.5919493712660991,0.3113519954836573,0.3576363485804226,0.13151572499631295,0.3514045874243549,0.620867564535588,0.42461494430730473,0.4683373669335048,0.39660020091439013,1.0,0.5155090314765878,0.20739656898181616,0.5868227601430336,0.21522618584218428,0.36119172938693306,0.3812893034242485,0.47983578693887224,0.38122985718395874,0.33662006266788197,0.46433446201605866,0.5398017511707918,0.2904260424700623,0.5637871758109713,0.46050581587924827,0.2513529081813984,0.1445447874683578,0.20311526103155395,0.1491911442932818,0.14742595059585262
egfr,0.47106340166679156,0.5981103530145621,0.3515770328982203,0.2506566588251223,0.5131096941797688,0.5356172738020691,0.7998269500905445,0.3697632304906325,0.4447233075199041,0.29861974110814804,0.37885868658564004,0.7124105737544396,0.5519111951142263,0.5952479273903615,0.583495432884681,0.5155090314765878,1.0,0.5604147576575945,0.7151629316576767,0.4770897756093315,0.3146152525694557,0.7435286707977824,0.5220845351527651,0.4812814457615768,0.535134178656654,0.5010320435483754,0.6390362334958862,0.458745034561627,0.6683448619348225,0.685335818369523,0.3272006593183417,0.512006417897096,0.4683130988445609,0.2798460019003455,0.27799863518443746
fibronectin,0.5434405440887408,0.6161039169843983,0.3162919266747097,0.15406213960527937,0.5307910671673005,0.5855684354063863,0.5576606771129254,0.30484473258560624,0.47120928219647057,0.378541992558189,0.25640230265782415,0.44479994995273314,0.6223140695681186,0.3892738673481477,0.534750331835139,0.20739656898181616,0.5604147576575945,1.0,0.5541737184152182,0.38155673595110356,0.09454687277114376,0.6069012642374804,0.35626660686783895,0.5567163673904582,0.546376952629174,0.42023937462676103,0.5313239980271223,0.5812320331520833,0.5109644616050425,0.6923094335471424,0.3846015500146273,0.5883905451767248,0.6746735745595478,0.42348975723448956,0.4237237644732102
gata3,0.5676048514418206,0.6429138993590565,0.37618702083368594,0.2584892676416616,0.43068562337860156,0.3776225553602557,0.8490089371846358,0.44651171154399444,0.47181912748513694,0.22449169989047627,0.3199452562686015,0.7827047706892258,0.5838943603741699,0.7221254252204377,0.6552743049595149,0.5868227601430336,0.7151629316576767,0.5541737184152182,1.0,0.5969296183110135,0.3143354895565619,0.5711061050412346,0.6143232195140821,0.6811404309383984,0.5582268217084251,0.6899519836367197,0.8451742164701445,0.587342967633683,0.7834581996523287,0.7941927339588839,0.36925453749797515,0.4254874470816641,0.6102184974214778,0.3395092950105051,0.33748189715407545
histone_h3,0.5896938594179527,0.5814408354266952,0.10453737708802274,0.1867880050966009,0.23133239968182512,0.17773757945305832,0.6393149387464973,0.3940736299258478,0.164030733132016,0.16987722704293184,0.3404522749746742,0.557054941986272,0.43811740073354305,0.7955604810340201,0.6911490985447609,0.21522618584218428,0.4770897756093315,0.38155673595110356,0.5969296183110135,1.0,0.09485081320764296,0.3525928775727801,0.17880072121254614,0.3657509568215392,0.383969340609126,0.5993764038016581,0.45718553029552067,0.2821031155028058,0.6269334383439432,0.5444301260369092,0.1766255690761081,0.28212913645496107,0.4742826256198487,0.5157071050194749,0.5143788880319335
histone_h3_phospho,0.19268110099151614,0.1837565490596191,0.11467237173272342,0.05311211796648525,0.03838849009571842,0.08975143190791303,0.34441891375671224,0.4767506570214865,0.1748492235420409,0.002938463621439572,0.2913329678512798,0.2971116440889826,0.147869878315027,0.4129011034576133,0.2021229289014504,0.36119172938693306,0.3146152525694557,0.09454687277114376,0.3143354895565619,0.09485081320764296,1.0,0.22689227628025502,0.621473752988934,0.11074619991344482,0.030722101066466154,0.18257342683548955,0.28906736192877813,0.12060146176703118,0.3973146740037088,0.2658391439741398,0.03967554501957162,0.001167799781919639,0.09274976487455544,0.08520912866983069,0.08386223462255415
histone_h3_trimethylate,0.45112875324279694,0.6145477068922581,0.2849680495347055,0.17088557671617396,0.6914149595390816,0.7417674965970277,0.6745365792330438,0.29128527788321823,0.3574322911251931,0.29305512573469145,0.2379139174921242,0.5252192590103213,0.6189166882248693,0.4205253935480127,0.47355370651992584,0.3812893034242485,0.7435286707977824,0.6069012642374804,0.5711061050412346,0.3525928775727801,0.22689227628025502,1.0,0.42953317626067133,0.36951130173666435,0.6526806113986882,0.46813862851146854,0.46548645580729625,0.2812986419541161,0.5420165240601631,0.6846987130357415,0.47795469271703467,0.6890047424016402,0.40265401623272223,0.3433327127794608,0.3418558046367463
keratin_14_krt14,0.30544469535237384,0.3733215125879756,0.302408524717789,0.09937567847894993,0.23273218184323843,0.23796517363016761,0.5268483942564113,0.30894755070610164,0.45369851115425436,0.12406291328283475,0.25793566508465726,0.5357546922334863,0.33593795710441504,0.4614544170944056,0.3365918355258227,0.47983578693887224,0.5220845351527651,0.35626660686783895,0.6143232195140821,0.17880072121254614,0.621473752988934,0.42953317626067133,1.0,0.42523237526262725,0.2597354022760627,0.2986806682156336,0.6145171526731769,0.4494001581203504,0.5005905940151205,0.4361761047269281,0.19404168550490922,0.1585446641634974,0.2639566897722245,0.10595686384967445,0.10439542538967962
ki_67,0.5925836961961659,0.4883158067160047,0.36514328750099734,0.09102367815980794,0.31155753380608253,0.2810818006861553,0.5543191153964251,0.33285663513124714,0.5177247110193444,0.18113293593708069,0.2106747858484704,0.5670124138981502,0.6234376851083995,0.4150224306047499,0.4835063429470829,0.38122985718395874,0.4812814457615768,0.5567163673904582,0.6811404309383984,0.3657509568215392,0.11074619991344482,0.36951130173666435,0.42523237526262725,1.0,0.5520532979214668,0.6229981697690331,0.7129963927283981,0.6710403726708074,0.590500871596121,0.5999534886813391,0.2795779347161208,0.4315660744809712,0.7375832005589821,0.44564256338716035,0.44556988000744663
m_tor,0.5491744618709941,0.6190078975554207,0.4128852370233723,0.04462780669666279,0.6207217444494679,0.6333728231252221,0.5864677751209476,0.21443180636784984,0.5011980820049854,0.29274054723180587,0.11704680628322885,0.47012685894165746,0.694826424231581,0.3336484457543235,0.47696976492291027,0.33662006266788197,0.535134178656654,0.546376952629174,0.5582268217084251,0.383969340609126,0.030722101066466154,0.6526806113986882,0.2597354022760627,0.5520532979214668,1.0,0.6622270671092747,0.5377909752930908,0.36851032617762186,0.5363197186231441,0.649919489179394,0.512731287278565,0.7006585930190107,0.5560538153183321,0.47667984739210223,0.4760683701273425
p53,0.6177003522650619,0.494590664129649,0.2949885036350756,0.04630756342342647,0.32388832206262436,0.30939909431371176,0.6446398651866859,0.3727316741173427,0.37487143654997834,0.09498034375460881,0.18782032064099186,0.5548720530742803,0.6267928768474574,0.5547215486123368,0.5120422307058116,0.46433446201605866,0.5010320435483754,0.42023937462676103,0.6899519836367197,0.5993764038016581,0.18257342683548955,0.46813862851146854,0.2986806682156336,0.6229981697690331,0.6622270671092747,1.0,0.5683755974845809,0.45524535249474746,0.6397004175441057,0.603685485567287,0.2734584776927001,0.43501329153862706,0.6129975109342398,0.57063216709501,0.5698078378371844
pan_cytokeratin,0.5202464767449451,0.5955754105930964,0.49648121776847215,0.21697146338691856,0.40567175158180796,0.3475050712146012,0.7697455809714006,0.4080872877524425,0.6209261041224925,0.3469643129138873,0.3873325713415327,0.7799296255642406,0.5722483371976915,0.6418590383671535,0.6271122606132845,0.5398017511707918,0.6390362334958862,0.5313239980271223,0.8451742164701445,0.45718553029552067,0.28906736192877813,0.46548645580729625,0.6145171526731769,0.7129963927283981,0.5377909752930908,0.5683755974845809,1.0,0.6532220648003307,0.7319836488084157,0.723366150156307,0.39735828403153706,0.39288479578539154,0.5878280574165455,0.3145913471418659,0.31300029133795443
progesterone_receptor_a_b,0.46903144032165645,0.4504364024960772,0.29959070644014035,0.19521033149665507,0.23536540549166,0.22257068269791033,0.46255621250988255,0.2515069485915442,0.4983317577712284,0.2265536412408821,0.24869970793672286,0.47509278086308565,0.5046391035978424,0.35589312611669477,0.4492079778244671,0.2904260424700623,0.458745034561627,0.5812320331520833,0.587342967633683,0.2821031155028058,0.12060146176703118,0.2812986419541161,0.4494001581203504,0.6710403726708074,0.36851032617762186,0.45524535249474746,0.6532220648003307,1.0,0.4946022390712001,0.5057249721355193,0.1785379126179556,0.3004640252025464,0.6954712663409162,0.28497563520136165,0.2851775771320257
rabbit_ig_g_h_l,0.591100381036196,0.6854923067438088,0.334968200643603,0.19581416265119955,0.4249924445551233,0.3812681784003733,0.8066507256853696,0.5728434342579586,0.45825918923427683,0.2891330036338668,0.4778708877224625,0.7219580872273089,0.618010367279242,0.7534039092476228,0.7636868999465679,0.5637871758109713,0.6683448619348225,0.5109644616050425,0.7834581996523287,0.6269334383439432,0.3973146740037088,0.5420165240601631,0.5005905940151205,0.590500871596121,0.5363197186231441,0.6397004175441057,0.7319836488084157,0.4946022390712001,1.0,0.7970587559748458,0.340370917944242,0.43566856016189204,0.6157981934629082,0.45939193175196863,0.45813506838584267
s6,0.6640664854971724,0.7508319451462613,0.3779542696121216,0.18314646199671672,0.6057023360226688,0.6440376357864553,0.8053857628823358,0.45013944329064404,0.45325210524916043,0.2989108372883569,0.33747464392699383,0.6468438186789939,0.6991388001711761,0.6170885425607276,0.7432859899083434,0.46050581587924827,0.685335818369523,0.6923094335471424,0.7941927339588839,0.5444301260369092,0.2658391439741398,0.6846987130357415,0.4361761047269281,0.5999534886813391,0.649919489179394,0.603685485567287,0.723366150156307,0.5057249721355193,0.7970587559748458,1.0,0.5274408318000817,0.6499196705100712,0.6994169916515356,0.4319030473224712,0.4307986528339567
slug,0.2489760861103119,0.5360448817603098,0.4825970300452843,0.2008668210798121,0.7436685976368986,0.6386798582719428,0.4582447432236726,0.14886474907460912,0.45437000887311446,0.36730360074369756,0.17184756617965277,0.3531484747672319,0.3664319744009439,0.24096117951978802,0.27304628284200777,0.2513529081813984,0.3272006593183417,0.3846015500146273,0.36925453749797515,0.1766255690761081,0.03967554501957162,0.47795469271703467,0.19404168550490922,0.2795779347161208,0.512731287278565,0.2734584776927001,0.39735828403153706,0.1785379126179556,0.340370917944242,0.5274408318000817,1.0,0.6755267353950228,0.24986929080363338,0.156123234745859,0.1547710821089483
sma,0.5083198443457468,0.6246039738013438,0.3994451281282564,0.14102509858344475,0.8374899965909832,0.7838479094990679,0.513061097558322,0.21553450843671196,0.42278232581979597,0.30690350064916383,0.09886758992188274,0.3590596735080716,0.6017153277612431,0.2584311813814496,0.37324278485236057,0.1445447874683578,0.512006417897096,0.5883905451767248,0.4254874470816641,0.28212913645496107,0.001167799781919639,0.6890047424016402,0.1585446641634974,0.4315660744809712,0.7006585930190107,0.43501329153862706,0.39288479578539154,0.3004640252025464,0.43566856016189204,0.6499196705100712,0.6755267353950228,1.0,0.5749709568698941,0.3989194504955163,0.39850517034203803
twist,0.7536277921902086,0.5700355589457676,0.28449740576244714,0.018648741927762693,0.35850966734282863,0.36080407462120023,0.54060447185627,0.41202603183199593,0.4518192906827463,0.18514248964601834,0.17710588381780862,0.4448887113191444,0.7129362513871796,0.42777768375446373,0.6095716908964747,0.20311526103155395,0.4683130988445609,0.6746735745595478,0.6102184974214778,0.4742826256198487,0.09274976487455544,0.40265401623272223,0.2639566897722245,0.7375832005589821,0.5560538153183321,0.6129975109342398,0.5878280574165455,0.6954712663409162,0.6157981934629082,0.6994169916515356,0.24986929080363338,0.5749709568698941,1.0,0.5409837551890796,0.5417890749475954
v_wf,0.5956715460737073,0.450136874439386,0.21159800076884208,-0.013715157310406689,0.24772550887432335,0.25940359735885826,0.3627181105827001,0.3189688812380775,0.2937848306008815,0.18158175958453515,0.17606598260676146,0.298244719046249,0.5345747432962049,0.3906726219690577,0.45723971794617624,0.1491911442932818,0.2798460019003455,0.42348975723448956,0.3395092950105051,0.5157071050194749,0.08520912866983069,0.3433327127794608,0.10595686384967445,0.44564256338716035,0.47667984739210223,0.57063216709501,0.3145913471418659,0.28497563520136165,0.45939193175196863,0.4319030473224712,0.156123234745859,0.3989194504955163,0.5409837551890796,1.0,0.9999655169495828
vimentin,0.5957905594414048,0.4489441719111528,0.21085578408593622,-0.015124852215498212,0.24629568626408033,0.258502353672188,0.3602695420070646,0.31827716514872745,0.29378011600327847,0.18089385143940293,0.1751356051246467,0.2960818369522907,0.5346169026786167,0.388584145896245,0.4564133638291236,0.14742595059585262,0.27799863518443746,0.4237237644732102,0.33748189715407545,0.5143788880319335,0.08386223462255415,0.3418558046367463,0.10439542538967962,0.44556988000744663,0.4760683701273425,0.5698078378371844,0.31300029133795443,0.2851775771320257,0.45813506838584267,0.4307986528339567,0.1547710821089483,0.39850517034203803,0.5417890749475954,0.9999655169495828,1.0
